text,selected_text,sentiment
 You really think it was that awesome? We`ll have to discuss,You really think it was that awesome? We`ll have to discuss,neutral
 ohyeahhh  hate the heat!  http://twitpic.com/665a2,ohyeahhh  hate the heat,negative
Good morning in Twitterville. Off to work I go...Chat @ all of u later,Good morning,positive
Can`t believe ER is over,Can`t believe ER is over,neutral
" oh yeah, that`s right! thanks for reminding me",thanks,positive
 finally -- someone recognizes my genius,genius,positive
off to glue stuff onto poster,off to glue stuff onto poster,neutral
 - sigh,- sigh,neutral
Month end... still stuck in my office waiting for the stragglers to get there s#!t together.,stuck,negative
found six great vegan places to eat and relax at; four of which I can`t get to without a car,found six great vegan places to eat and relax at; four of which I can`t get to without a car,neutral
"i love this girl  ,she rocks!","i love this girl  ,she rocks!",positive
Twitter criado.,Twitter criado.,neutral
Happy Mother`s Day to all the Momma`s to be and Mommas currently.  Have a wonderful day!!!,wonderful,positive
At work...Thinking about things when I should be working,At work...Thinking about things when I should be working,neutral
_Rex_513 I`m working all weekend,I`m working all weekend,neutral
 we miss you,we miss you,negative
 looool .. me 2 !! ana i will vote 7ag ele ye6le3ni taqa3od now,looool .. me 2 !! ana i will vote 7ag ele ye6le3ni taqa3od now,neutral
 TY very much for FF,TY very much for FF,positive
had the BEST Italian meal EVER last night! twas godly! i thinks we may get our kitty cat today,BEST,positive
arriving at itexa. Lots of mails to read and some work to do  thanks god weekend is just here,thanks,positive
_fisher Hey!! How are u??did u got my reply??,_fisher Hey!! How are u??did u got my reply??,neutral
"i want some grape soda, jack fowers` fault. also,  i wish i could see you play  are your uk gigs sold out? please reply!!!!!!!!","fault. also,  i wish i could see you play  are your uk gigs sold out? please reply!!!!!!!!",neutral
  My Power was cut off  thats where i went,My Power was cut off,negative
" Send that along, lady.","Send that along, lady.",neutral
"_crazyangel Gah   But Gregg should have got the hot and talented vote, dammit!",", dammit",negative
" man, 4 months until we get to see what those drunk tweets were all about","man, 4 months until we get to see what those drunk tweets were all about",neutral
Afternoon from office  My cubicle has been moved but not the system yippie! Mine is one of te few surviving 'good' system..,! Mine is one of te few surviving 'good' system..,positive
Star Trek was actually really good,really good,positive
oh no noisy family who live next door are back from holiday  there goes my peace and quiet,oh no noisy family who live next door are back from holiday  there goes my peace and quiet,neutral
last night sucked... too many bad dreams about spiders and rogue octupi,bad,negative
 how was the ice cream?,how was the ice cream?,neutral
" I get motivated by the fact that I know I`ll wake up and be more productive if I go, then if I sleep in, just me though",motivated,positive
" demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!",love you so much!!!,positive
_Exp not where i live.,_Exp not where i live.,neutral
OMG I would sooooo make dis show number one n da ratings,OMG I would sooooo make dis show number one,positive
 I`m with you...been up till 5-6 for the last few nights...,I`m with you.,positive
  haha aww hun i bet you are more creative than me,e creative,positive
OK - so I can`t sleep...  Twitter it is,OK - so I can`t sleep...  Twitter it is,neutral
Is anyone there?  Please say hello - I`m feeling lonely,- I`m feeling lonely,negative
A long and stressful day coming up tomorrow. Have to write responses to EOI; doing a colleagues job,A long and stressful day coming up tomorrow.,negative
" i got mcdonalds, surpisingly its not a popular drunk food option.  its sucks that all diners aren`t 24hrs here anymore",its sucks that all diners aren`t 24hrs here anymore,negative
sheboygan / teekay / other kids / fight / angus / ryan / mall / mcdonalds / high / party / beer pong / drink / drive home. fun night,fun night,positive
 Iï¿½m good! You coming on just as Iï¿½m off to drive home...,Iï¿½m good! You coming on just as Iï¿½m off to drive home...,neutral
"Marley won`t watch the French Open unless it`s in HD, which it`s not...   But my latest political ad is: http://tinyurl.com/lvsn76","Marley won`t watch the French Open unless it`s in HD, which it`s not...   But my latest political ad is:",neutral
is way too sleepy to be awake,is way too sleepy to be awake,neutral
Millenia mom.... I think I am in that category,Millenia mom.... I think I am in that category,neutral
 I never knew,I never knew,neutral
washed eye out but got water up my sleeve,washed eye out but got water up my sleeve,neutral
#bgt Can`t watch anymore,Can`t watch anymore,negative
Is there a cvs equivalent to 'git status'?,Is there a cvs equivalent to 'git status'?,neutral
"On a day like today I would wear shorts and tshirt, but now I`m at DHQ it`s office wear...","On a day like today I would wear shorts and tshirt, but now I`m at DHQ it`s office wear...",neutral
Seriously. I dont like girls.,dont like,negative
" its a travesty, no? and, the people who are doing this said they`d THINK about involving joss whedon!!!!","its a travesty, no? and, the people who are doing this said they`d THINK about involving joss whedon!!!!",neutral
  BUT THEY ARE EXPENSIVE.,E EXPENSIVE,negative
 I have to go to Spanish mass on Sunday  And then write a couple of papers. Boo.,I have to go to Spanish mass on Sunday  And then write a couple of papers. Boo.,neutral
" Thankyou, yes. Off to a pre-wedding party now.","Thankyou,",positive
is incredibly worried about Stanley...,is incredibly worried about Stanley...,negative
Sitting here twittering~~up at 3 am yuk! I want some messages!  Blue Monday!!,Sitting here twittering~~up at 3 am yuk! I want some messages!  Blue Monday!!,neutral
 et`s genitals are in his magic glowing finger,et`s genitals are in his magic glowing finger,neutral
 i can almost imagine what the call taker must`ve felt like taking that call...especially if they have young ones at home.,i can almost imagine what the call taker must`ve felt like taking that call...especially if they have young ones at home.,neutral
_Perth Awesome...love top gear..whos your favourite?Got to admit i have a soft spot for captain slow,love top gear..,positive
Getting very frustrated by people who don`t know what they want... can`t wait to go home tonight...,frustrated,negative
08.05.09 partying at the Pineforest  http://tinyurl.com/ojugsb,08.05.09 partying at the Pineforest  http://tinyurl.com/ojugsb,neutral
 apparently were not as good as the Brazillians tho`,were not as good as the Brazillians,negative
ready for the weekend and sad that I have to be at the office again tomorrow morning,sad th,negative
" it is very unlucky  the day wasn`t the same without you! i hope to see you on wednesday though, right? x","it is very unlucky  the day wasn`t the same without you! i hope to see you on wednesday though, right?",negative
  can you follow me so I can DM you?,can you follow me so I can DM you?,neutral
I wasn`t going to go out tonight but looks like I`ll be heading over to Main Street,I wasn`t going to go out tonight but looks like I`ll be heading over to Main Street,neutral
 !!!!  glad you`re alright!,glad you`re alright!,positive
Didn`t get to hang out with kaitlyn.,Didn`t get to hang out with kaitlyn.,neutral
trying to understand why WHY i joined twitter.....everyone else was doing it i felt left out,i felt left out,negative
This GAR keeps going out - 3rd relight,This GAR keeps going out - 3rd relight,neutral
 angels even though I`m probably not the third... ANGELS AND DEMONS,angels even though I`m probably not the third... ANGELS AND DEMONS,neutral
So much for Skype for BlackBerry in May,So much for Skype for BlackBerry in May,neutral
Math is amazing and hell at the same time  socialily that is the naiv part is fine.,Math is amazing and hell at the same time  socialily that is the naiv part is fine.,neutral
" If I end up working in DC, GMU is on my 'short list' for Masters No. 2. Started Sys Eng program in the 90`s; never finished.","If I end up working in DC, GMU is on my 'short list' for Masters No. 2. Started Sys Eng program in the 90`s; never finished.",neutral
is thinking what song to use for the next chilled edition video!,is thinking what song to use for the next chilled edition video!,neutral
I dont like things getting confused. Seems to be happening alot lately,confused.,negative
 i can`t go tonight   *Cait*,i can`t go tonight   *Cait*,neutral
With E3 coming up the worst possible thing happened. No not swine flu! not AIDS! RROD!!!!!!!!!!!!!!,coming up the worst possible thing,negative
Rain. One more reason to stay snuggled beneath the duvet,Rain. One more reason to stay snuggled beneath the duvet,neutral
 2ND BREAKFAST !? I want more food =/ LOL. Tweet me what breakfast you`re having  LOOOOOOLDING`,=/ LOL.,positive
i feel like **** right now and i have one more month of school left  FML HARD,i feel like **** right now and i have one more month of school left  FML HARD,negative
I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,positive
 thats another sponsor,thats another sponsor,neutral
"On way to exam, very very nervous  bah",very very nervous  bah,negative
 Right. But Iï¿½m a stickler for correct DPI export and color value  Iï¿½m going to dig in and find out if this is possible,Right. But Iï¿½m a stickler for correct DPI export and color value  Iï¿½m going to dig in and find out if this is possible,neutral
  aaaawww  would u like an alcoholic beverage of your choice?,aaaawww  would u like an alcoholic beverage of your choice,neutral
Thanks to all my new followers!,Thanks,positive
'We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet' finding nemo,'We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet' finding nemo,neutral
 did you have an amazing time?,did you have an amazing time?,neutral
" Poor Buddy, being teased by mini puggy  I think what you need is a #PUGHUG","Poor Buddy, being teased by mini puggy  I think what you need is a #PUGHUG",neutral
i wanna see UPPPPPP,i wanna see UPPPPPP,neutral
"_dizon it`s a little late but congratulations, leah  happy mothers day!","it`s a little late but congratulations, leah  happy mothers day!",positive
finally shifted from Twhirl to TweetDeck so I can filter through my close friends` updates  happy monday peeps,finally shifted from Twhirl to TweetDeck so I can filter through my close friends` updates  happy monday peeps,neutral
 thank you.,thank you.,positive
 I was going to hidden-file it and you`re thinking about youtube? SO NOTT! Lol. Hey put the phone down and more swimming,I was going to hidden-file it and you`re thinking about youtube? SO NOTT! Lol. Hey put the phone down and more swimming,neutral
" that sucks...wish we could get it there cheaper...   if you`re in montreal, there`s a cool shop that carries them up there!","that sucks...wish we could get it there cheaper...   if you`re in montreal, there`s a cool shop that carries them up there",neutral
Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep.,Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep.,neutral
Not really  but its work so yea kinda,Not really  but its work so yea kinda,neutral
 Are you okay?,Are you okay?,neutral
Well its a good thing ``march`` wasnt very long and i didnt like it...cuz its deleted. Ugh,Well its a good thing ``march`` wasnt very long and i didnt like it...cuz its deleted. Ugh,neutral
Awww the boys have no beards?    I LIKED THEIR MANLY MAN-NESS [via ] #asylm,I LIKED THEIR MANLY MAN-NES,positive
just completed button hunt 3,just completed button hunt 3,neutral
" It`s a beautiful MN day, but I`m stuck inside playing Zelda.  I`ve gotta play at least 10 hrs. today.",beautiful,positive
chapter 27... probably on monday. i still need more comments.,chapter 27... probably on monday. i still need more comments.,neutral
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral
 That`s better than Missy 8 telling me I should be on The Biggest Loser,s better,positive
" Like the Simpsons? That`s like asking, 'so you like breathing?'","Like the Simpsons? That`s like asking, 'so you like breathing?'",neutral
"yay for nice weather, boo for cici not being here this weekend","yay for nice weather, boo for cici no",negative
 Thanks for the follow back,Thanks,positive
 My windows open and its not that cold ahahah,d its not that cold ahahah,positive
"Forced myself out of bed this morning, but failed to cycle in. ****.","Forced myself out of bed this morning, but failed to cycle in. ****.",negative
" yeah. because i`ll have to go tomorrow morning and get picked up early sunday, so i see no reason to go the whole weekend","yeah. because i`ll have to go tomorrow morning and get picked up early sunday, so i see no reason to go the whole weekend",neutral
ROFL.. okay I dont know. but Kristin still isnt here,ROFL.. okay I dont know. but Kristin still isnt here,neutral
 K - I can hack if I have directions   have multiple social net sites & I think this is a cool add but we chose not 2 go MU,K - I can hack if I have directions   have multiple social net sites & I think this is a cool add but we chose not 2 go MU,neutral
 i widddd but i`ll be on a bus to london    & also,i widddd but i`ll be on a bus to london    & als,neutral
Oh yeaah.  we`ll still be bffs  aha _marie.,Oh yeaah.  we`ll still be bffs  aha _marie.,positive
 a walk in the clouds; sweet november; lake house.,sweet november;,positive
I miss my friends so much,I miss my friends so much,negative
 hahahahah!! 04 would be the chief contributors. lol.,hahahahah!! 04 would be the chief contributors. lol.,neutral
Just been asked to sing yet again....aha. coffee mornin this time. psychology past questions&revision suck!,suck!,negative
 Happy Mothers Day!,Happy Mothers Day!,positive
In Kelantan! Good to be (sort of) home! :pI`m guilt stricken after having that turtle egg.  Really. Won`t do it again. Really.,Good to be (sort of) home! :pI`m guilt stricken,neutral
In children`s hospital ER hoping Meredith does NOT have a broken elbow/arm,hoping,positive
"I think I messed up my back, its been like this all day",messed,negative
Just want to wish everyond a Happy Mother`s Day. Hope it`s a great one!,wish everyond a Happy Mother`s Day. Hope it`s a great one!,positive
 don`t you agree?,don`t you agree?,neutral
"i want to see go:audio, someone take me please?  5DAYS(L)","i want to see go:audio, someone take me please?  5DAYS(L)",neutral
Field day is sad. No ribbons for me.,Field day is sad.,negative
lovin` my new blackberry,lovin`,positive
 silly wendy. You know I don`t speak French  just a few more hours to study before this ride begins!,silly wendy. You know I don`t speak French  just a few more hours to study before this ride begins!,neutral
 my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they **** up my order.,broken,negative
 20 at least hugh  happy trails,happy,positive
wants everyone to know he`s off to watch Cypher... again,wants everyone to know he`s off to watch Cypher... again,neutral
"Just had some strawberries for afternoon snack, I love strawberries!! Gonna make a strawberry smoothie tonight after the gym",I love strawberries!!,positive
"Bah DHCP server, why must you keep falling on your face","Bah DHCP server, why must you keep falling on your face",neutral
is loving the half day! If only it wasn`t raining.  Soccer Practice tonightt.,loving th,positive
sick of having constant bad dreams  grr,sick of having constant bad dreams  grr,negative
"Awake again at 6am on a Saturday, isn`t this sleep in day. Oh well have some work to keep busy. If only it was work keeping me awake.","Awake again at 6am on a Saturday, isn`t this sleep in day. Oh well have some work to keep busy. If only it was work keeping me awake.",neutral
Who builds a hotel without air-con? Bloody boiling in here...,Bloody boiling in here...,negative
#Volvicchallenge Tesco dropped off my 14 bottles today  Props for doing so on a Bank Holiday,#Volvicchallenge Tesco dropped off my 14 bottles today  Props for doing so on a Bank Holiday,neutral
Raining...  I missed the rain so much...  I am grateful for it ;),Raining...  I missed the rain so much...  I am grateful for it ;),neutral
Happy Mother`s Day to all you mother`s in Twitterville!,Happy Mother`s Day to all you mother`s in Twitterville!,positive
  My class will be at Chem Sc building. Will see the both of you after 5 yeah?,My class will be at Chem Sc building. Will see the both of you after 5 yeah?,neutral
" How can i vote, it wont let me, says they closed the votes in her category  i wanna vote","How can i vote, it wont let me, says they closed the votes in her category  i wanna vote",neutral
 Yeah it`s a really fascinating paper isn`****? Credit goes to  for the discovery,Yeah it`s a really fascinating,positive
" You said your getting McFlys live album 2morrow, whats it called?  ****","You said your getting McFlys live album 2morrow, whats it called?  ****",neutral
working today.  Can`t find my key so I had to borrow Miranda`s.,working today.  Can`t find my key so I had to borrow Miranda`s.,neutral
had a funny time at neball against PLC  score: 48-3. what a game.,funny,positive
Mothers day isnt until the 31th here in sweden.But thnx for the pm`s,But thnx for the pm`s,positive
 I LOVE pb & banana sandwiches!! Still a fav of mine,LOVE,positive
http://twitpic.com/67ot5 - the most amazing decoration of a store i`ve ever seen... & it`s almost been 2 years,amazing,positive
someone save me from boredom.,boredom.,negative
Hi everybody! Sorry for the long listening. Iwas too busy.,Sorry for the long listening.,negative
Btw that song is you`ll always find ur way back home by hannah montana,Btw that song is you`ll always find ur way back home by hannah montana,neutral
" Wish I could listen but because I`m from Canada, the website won`t let me!","Wish I could listen but because I`m from Canada, the website won`t let me!",negative
http://twitpic.com/4wkpl - Widescreen laptop + rotation + comics = Awesome.,Awesome.,positive
 hmmm they are on offer in Tesco as well but I don`t think the wee one next to me will stock them!,hmmm they are on offer in Tesco as well but I don`t think the wee one next to me will stock them!,neutral
" but have you got , and twitted a link to it. No? Fail.",Fail.,negative
" Oh, I`m so sorry!...my kitty is there right now being checked...losing lots of weight over last 3 wks. Not good",I`m so sorry!.,negative
Proudly watching my film  http://bit.ly/dP2Uh,Proudly wa,positive
"_d No, it`s not...","_d No, it`s not...",neutral
 Happy Birthday  Hope you enjoyed us singing to you Wednesday <3,Happy Birthday,positive
 Hope the train remembers the way - they can go a bit loopy on bank holidays,they can go a bit loopy,negative
" Im feeling sad, not likeing my new haircut","sad,",negative
 haha **** hell i know ay. **** son he`s just making trouble. we could take him.,haha **** hell i know ay. **** son he`s just making trouble. we could take him.,negative
"Is at Panera eating a bacon, egg and cheese with a coffee!  http://twitpic.com/4jip9","Is at Panera eating a bacon, egg and cheese with a coffee!",neutral
 hehehehe oh i love the Purate ENglish sooo much,i love the Purate ENglish sooo much,positive
Having Margaritas w/ mommie...what a great combo!,what a great combo!,positive
has made herself officially unavailable to her best friend,unavailable,negative
 I would notice...,I would notice...,neutral
 I don`t feel like having to reboot  If only OSX supported Hibernate & Reboot in Bootcamp... -.-,I don`t feel like having to reboot  If only OSX supported Hibernate & Reboot in Bootcamp... -.-,neutral
 waaa you too,waaa you too,neutral
  I wish I had Left 4 Dead. But first I`d need something to play it on...,I wish I had Left 4 Dead. But first I`d need something to play it on...,neutral
" try having your best writing five years behind you  heh, it happens",best writing five years,positive
  I love you too! I`m kinds reading. But you can call if you`d like,I love,positive
"In a lazy sunday; just had a very late lunch,and forget to buy PR,we`re on page 16","In a lazy sunday; just had a very late lunch,and forget to buy PR,we`re on page 16",neutral
Hate to break every1`s heart but confirmation jus came in that Austin & Sophia do NOT & never had a twitter  another sad day!!,another sad day!!,negative
"oy, im such a nerd..im writin 2 no1 cuz no1 is followin me  i mean lik sum1 was but their account was deleted due to 'strange activities'","oy, im such a nerd..im writin 2 no1 cuz no1 is followin me  i mean lik sum1 was but their account was deleted due to 'strange activities'",negative
Watching Ryann!!  Gonna be a grand day!!!,grand,positive
 thank you cici  right back at ya!,thank you,positive
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",alwas helps.,positive
OMG.. THIS ONE??? YESSSSS love this Danny song,YESSSSS love this,positive
listening to those litle hyperbirdies terrorizing the world since 4.30! lets cook em,terrorizing,negative
 so great to hear from u again today! U r the best! Cannot wait to see u on the cruise!!! <3 Cindy with the sign,so great to hear from u again today! U r the best!,positive
 Well I guess the McCafe=tastes like **** cured ur craving? You get the McSkillet? Me Wants,=tastes like ****,negative
aaaaaw i want to live in the USA,aaaaaw i want to live in the USA,neutral
just had a falling out with nick,falling out with nick,negative
"Happy Mother`s Day to all the beautiful Moms out there.  (I`m kind of a Mom, i think my little pup counts!  )",Happy Mother`s Day to all the beautiful Moms out there.,positive
" I so agree with you we have been married for 7 yrs, and this is our 6th move  BLAH!!!",BLAH!!!,negative
_peter let`s smoke and watched dazed and confused. that`s a perfect pizza movie too,perfect,positive
Had a dream I brought  and  to kings island. It was pretty sweet. Bummed they`re in poughkeepsie 24 hours before me,as pretty sweet.,positive
" Will you uh, marry me?  haha just kidding. Kind of. You`re hot though. Just so you know.",. Kind,positive
 that`s depressing,that`s depressing,negative
Mmmmmmmm... ? it in the morning,Mmmmmmmm... ? it in the morning,neutral
" awh Tom, thats really cute. i love you guys for that really, `cause you care about fans  x",", thats really cute. i love you guys",positive
 mmmm lauren conrad eeeeep im going to miss the hills,miss,negative
"just got back from the ER... i cut myself while trying to cook a nice lunch  3 stiches on my right index finger, talk about ouchie",cut myself,negative
"Wow! Up, coffee in hand and already outside.  So peaceful on Sunday mornings.",peaceful,positive
 i`m doing awesome! Rachel N had a bday party today  it was fun. Btw have you seen  Sam`s prom pix? They`re GORGEOUS!,re GORGEOU,positive
Had a good day selling at Feria Urbana. The ladies love them some laser-cut felt.,good day se,positive
the mum`s cake is done.. now i need make a good luch and tomorrow will be an amazing Mum` day,the mum`s cake is done.. now i need make a good luch and tomorrow will be an amazing Mum` day,positive
 Quaver Sandwiches  and tea.,Quaver Sandwiches  and tea.,neutral
downloading the right/real speedracher now.,downloading the right/real speedracher now.,neutral
 you stop it,you stop it,neutral
off to liverpool now!,off to liverpool now!,neutral
 i know...,i know.,neutral
i`m sick of waking up and feeling exhausted,sick,negative
Cant find my red lighter that reminds me of Amy,Cant find my red lighter that reminds me of Amy,neutral
"Enjoying my pathetic tiny music collection, while rearranging my room. Still a little tired from shortening the grass, and that one frog","Enjoying my pathetic tiny music collection, while rearranging my room. Still a little tired from shortening the grass, and that one frog",neutral
"  cool, i saw it now in the link thanks",cool,positive
  It should take you back to colorado where you belong,It should take you back to colorado where you belong,neutral
 yeah it was face2face  nite we went to palisades to see star trek. i can`t remember it. i said it while we were in the car,yeah it was face2face  nite we went to palisades to see star trek. i can`t remember it. i said it while we were in the car,neutral
 I`m so honored to hear my name on a Breezy track  hope u liked my ****! #drunk_bowling,honored,positive
If someone in the family died you would of heard about it. Duhhhhhh. . .,Duhhhhhh.,negative
